course_code,course_name,credits,grade,semester
INB372,International Business,3,C,Spring2019
ACT202,Intro to Managerial Accounting,3,A-,Spring2019
FIN254,Intro to Financial Management,3,B,Spring2019
MGT368,Entrepreneurship,3,B,Spring2019
ENG115,English Literature,3,B,Spring2019
POL104,Political Science,3,B,Spring2019
BIO103,Biology I,3,B,Spring2019
FIN440,Corporate Finance,3,A-,Spring2019
FIN435,Investment Theory,3,A-,Spring2019
ECO104,Intro to Macroeconomics,3,B-,Summer2019
FIN433,Financial Markets and Institutions,3,B,Summer2019
MGT489,Strategic Management,3,A-,Fall2019
MKT202,Introduction to Marketing,3,B-,Fall2019
ENG105,Advanced Composition,3,A,Spring2020
ACT201,Intro to Financial Accounting,3,A-,Spring2020
MGT314,Production Management,3,C,Spring2020
HIS103,History of South Asia,3,B-,Spring2020
ENV107,Environmental Science,3,B,Spring2020
FIN455,Financial Modelling Using Excel,3,C,Spring2020
ECO101,Intro to Microeconomics,3,B,Summer2020
MGT351,Human Resource Management,3,A,Fall2020
HIS102,World Civilization,3,C+,Spring2021
BUS135,Business Mathematics,3,B,Summer2021
LAW200,Legal Environment of Business,3,A,Summer2021
PHI401,Ethics / Philosophy,3,C+,Summer2021
MIS107,Introduction to Computers,3,B-,Fall2021
MGT212,Principles of Management,3,B-,Fall2021
BUS173,Applied Statistics,3,A-,Fall2021
MIS207,Management Information Systems,3,A,Spring2022
BUS498,Internship,4,B-,Spring2022
