course_code,course_name,credits,grade,semester
INB372,International Business,3,A,Summer2023
PHI401,Ethics / Philosophy,3,C-,Summer2023
MGT351,Human Resource Management,3,D,Summer2023
ACT202,Intro to Managerial Accounting,3,D,Summer2023
BUS172,Introduction to Statistics,3,B+,Summer2023
MGT489,Strategic Management,3,C,Summer2023
BIO103,Biology I,3,D+,Summer2023
INB400,International Trade and Finance,3,A-,Summer2023
INB350,International Business Negotiation,3,F,Summer2023
LAW200,Legal Environment of Business,3,B,Fall2023
MGT212,Principles of Management,3,B+,Fall2023
MIS207,Management Information Systems,3,D,Fall2023
MIS107,Introduction to Computers,3,B,Fall2023
ECO101,Intro to Microeconomics,3,B+,Spring2024
CHN101,Chinese Language,3,D+,Spring2024
HIS103,History of South Asia,3,B,Spring2024
POL101,Intro to Political Science,3,F,Spring2024
GEO205,Geography,3,C,Spring2024
CHE101L,Chemistry I Lab,1,B,Spring2024
