course_code,course_name,credits,grade,semester
ACT201,Intro to Financial Accounting,3,A,Summer2020
MIS107,Introduction to Computers,3,A-,Summer2020
LAW200,Legal Environment of Business,3,A-,Summer2020
FIN254,Intro to Financial Management,3,B+,Summer2020
HIS103,History of South Asia,3,A,Summer2020
MGT410,Entrepreneurship II,3,B+,Summer2020
BUS135,Business Mathematics,3,A,Fall2020
MGT321,Organizational Behavior,3,A,Fall2020
HRM370,Managerial Skill Development,3,B,Fall2020
MGT314,Production Management,3,B+,Spring2021
MGT368,Entrepreneurship,3,A-,Spring2021
PBH101,Public Health,3,B-,Spring2021
ACT202,Intro to Managerial Accounting,3,A-,Summer2021
BUS172,Introduction to Statistics,3,B+,Summer2021
PHI401,Ethics / Philosophy,3,B,Summer2021
MIS207,Management Information Systems,3,A,Summer2021
ANT101,Anthropology,3,B,Summer2021
MIS320,IT for Managers,3,B,Summer2021
MGT350,Managing Quality,3,B,Summer2021
ECO101,Intro to Microeconomics,3,B-,Fall2021
BUS251,Business Communication,3,B+,Fall2021
INB372,International Business,3,A,Fall2021
CHN101,Chinese Language,3,B+,Fall2021
HIS101,Bangladesh History,3,A,Fall2021
BUS173,Applied Statistics,3,A,Spring2022
ENG105,Advanced Composition,3,A,Spring2022
ECO104,Intro to Macroeconomics,3,A-,Spring2022
PHY107,Physics I,3,A,Spring2022
PHY107L,Physics I Lab,1,A,Spring2022
MGT212,Principles of Management,3,A,Summer2022
MGT351,Human Resource Management,3,B+,Summer2022
PSY101,Intro to Psychology,3,A-,Summer2022
MGT330,Designing Effective Organizations,3,B+,Summer2022
MKT202,Introduction to Marketing,3,A,Fall2022
ENG103,Intermediate Composition,3,A-,Fall2022
MGT489,Strategic Management,3,B+,Fall2022
PAD201,Public Administration,3,B+,Fall2022
BUS498,Internship,4,B,Fall2022
