course_code,course_name,credits,grade,semester
ACT202,Intro to Managerial Accounting,3,C+,Spring2019
MGT368,Entrepreneurship,3,C+,Summer2019
BUS173,Applied Statistics,3,B+,Summer2019
PSY101,Intro to Psychology,3,C+,Summer2019
PBH101,Public Health,3,C+,Summer2019
MGT321,Organizational Behavior,3,A,Summer2019
HRM370,Managerial Skill Development,3,C+,Summer2019
PHI401,Ethics / Philosophy,3,C+,Fall2019
MGT351,Human Resource Management,3,A,Fall2019
SOC101,Intro to Sociology,3,C-,Fall2019
ENV107,Environmental Science,3,C,Fall2019
BUS135,Business Mathematics,3,A-,Spring2020
ENG105,Advanced Composition,3,C-,Spring2020
MGT314,Production Management,3,D,Spring2020
MGT489,Strategic Management,3,C+,Summer2020
MIS207,Management Information Systems,3,W,Summer2020
BUS172,Introduction to Statistics,3,C-,Summer2020
ECO104,Intro to Macroeconomics,3,W,Summer2020
BEN205,Bengali Literature,3,A-,Summer2020
HIS103,History of South Asia,3,F,Summer2020
HIS102,World Civilization,3,B+,Summer2020
MGT330,Designing Effective Organizations,3,C-,Summer2020
