course_code,course_name,credits,grade,semester
HIS101,Bangladesh History,3,F,Summer2020
ANT101,Anthropology,3,B+,Summer2020
CHE101,Chemistry I,3,A-,Summer2020
PHY107L,Physics I Lab,1,D+,Summer2020
INB490,Cross-Cultural Management,3,D,Summer2020
MGT351,Human Resource Management,3,C-,Fall2020
MGT212,Principles of Management,3,B,Fall2020
BUS172,Introduction to Statistics,3,F,Fall2020
INB400,International Trade and Finance,3,A-,Fall2020
MKT382,International Marketing,3,B,Fall2020
MIS207,Management Information Systems,3,W,Spring2021
MGT489,Strategic Management,3,C-,Spring2021
MIS107,Introduction to Computers,3,B-,Spring2021
PHI401,Ethics / Philosophy,3,B-,Spring2021
ACT202,Intro to Managerial Accounting,3,B+,Spring2021
HIS103,History of South Asia,3,A-,Spring2021
PSY101,Intro to Psychology,3,A-,Spring2021
INB480,Global Business Strategy,3,B,Spring2021
INB410,International Competitiveness,3,B,Spring2021
MGT314,Production Management,3,C,Summer2021
ACT201,Intro to Financial Accounting,3,B-,Summer2021
MKT202,Introduction to Marketing,3,B-,Summer2021
BUS251,Business Communication,3,C,Summer2021
PHY107,Physics I,3,B+,Summer2021
MGT368,Entrepreneurship,3,A,Fall2021
BUS135,Business Mathematics,3,D+,Fall2021
BUS173,Applied Statistics,3,B-,Fall2021
ECO101,Intro to Microeconomics,3,D+,Fall2021
FIN254,Intro to Financial Management,3,B+,Fall2021
BEN205,Bengali Literature,3,C,Fall2021
INB450,Global Entrepreneurship,3,A-,Fall2021
LAW200,Legal Environment of Business,3,B+,Spring2022
ENG105,Advanced Composition,3,C,Spring2022
ENG103,Intermediate Composition,3,A,Spring2022
BUS498,Internship,4,D+,Spring2022
