course_code,course_name,credits,grade,semester
PSY101L,Psychology Lab,1,D+,Summer2021
BUS251,Business Communication,3,C-,Spring2022
BUS172,Introduction to Statistics,3,D,Spring2022
MIS210,Computer Programming,3,C,Spring2022
MIS310,Systems Analysis,3,D,Spring2022
MGT212,Principles of Management,3,D+,Fall2022
ENG103,Intermediate Composition,3,F,Fall2022
MGT489,Strategic Management,3,C+,Spring2023
MIS207,Management Information Systems,3,C+,Spring2023
PHI401,Ethics / Philosophy,3,D+,Summer2023
ENG103,Intermediate Composition,3,C,Summer2024
