course_code,course_name,credits,grade,semester
BUS251,Business Communication,3,A,Fall2021
MIS207,Management Information Systems,3,T,Fall2021
MKT202,Introduction to Marketing,3,T,Fall2021
MIS210,Computer Programming,3,A,Fall2021
ENG103,Intermediate Composition,3,B+,Spring2022
MIS107,Introduction to Computers,3,B,Spring2022
MIS310,Systems Analysis,3,C+,Summer2022
MGT490,Project Management,3,B+,Summer2022
ACT202,Intro to Managerial Accounting,3,A-,Fall2022
LAW200,Legal Environment of Business,3,C+,Fall2022
HIS102,World Civilization,3,C+,Fall2022
PSY101,Intro to Psychology,3,C,Spring2023
INB372,International Business,3,A,Summer2023
PBH101,Public Health,3,A-,Summer2023
MIS330,Database Systems,3,T,Summer2023
BUS172,Introduction to Statistics,3,T,Fall2023
CHN101,Chinese Language,3,B+,Spring2024
PAD201,Public Administration,3,C+,Spring2024
ENG105,Advanced Composition,3,T,Summer2024
BUS135,Business Mathematics,3,A-,Summer2024
ANT101,Anthropology,3,B,Summer2024
MIS320,IT for Managers,3,B,Summer2024
MIS470,IT Project Management,3,B+,Summer2024
