course_code,course_name,credits,grade,semester
PHI401,Ethics / Philosophy,3,C,Fall2019
MIS107,Introduction to Computers,3,A-,Fall2019
ENG103,Intermediate Composition,3,T,Fall2019
HRM340,Training and Development,3,C+,Fall2019
BUS135,Business Mathematics,3,A,Spring2020
MGT212,Principles of Management,3,B,Spring2020
MGT314,Production Management,3,C,Spring2020
MGT368,Entrepreneurship,3,C,Summer2020
ACT201,Intro to Financial Accounting,3,B+,Summer2020
BUS172,Introduction to Statistics,3,C,Fall2020
HIS205,Modern History,3,C+,Fall2020
HRM360,Planning and Staffing,3,B,Fall2020
BUS173,Applied Statistics,3,B+,Spring2021
CHE101,Chemistry I,3,T,Spring2021
INB372,International Business,3,B+,Summer2021
ANT101,Anthropology,3,T,Summer2021
PHY107,Physics I,3,A-,Summer2021
ACT202,Intro to Managerial Accounting,3,C+,Fall2021
MGT351,Human Resource Management,3,A-,Fall2021
MKT202,Introduction to Marketing,3,A,Fall2021
ECO104,Intro to Macroeconomics,3,C+,Fall2021
ENG115,English Literature,3,C,Fall2021
ENG105,Advanced Composition,3,C,Spring2022
HRM380,Compensation Theory and Practice,3,C+,Spring2022
ECO101,Intro to Microeconomics,3,T,Summer2022
POL101,Intro to Political Science,3,B+,Fall2022
PSY101,Intro to Psychology,3,C,Fall2022
