course_code,course_name,credits,grade,semester
LAW200,Legal Environment of Business,3,A-,Summer2020
MGT314,Production Management,3,B-,Summer2020
BUS251,Business Communication,3,A,Summer2020
BEN205,Bengali Literature,3,A,Summer2020
HIS102,World Civilization,3,A,Summer2020
PHY107,Physics I,3,B+,Summer2020
FIN433,Financial Markets and Institutions,3,B+,Summer2020
BUS173,Applied Statistics,3,A-,Fall2020
ACT202,Intro to Managerial Accounting,3,A,Fall2020
FIN440,Corporate Finance,3,A,Fall2020
PHI401,Ethics / Philosophy,3,A-,Spring2021
ECO104,Intro to Macroeconomics,3,B,Spring2021
HIS103,History of South Asia,3,C+,Spring2021
FIN444,International Financial Management,3,B,Spring2021
FIN464,Derivatives,3,B+,Spring2021
FIN470,Insurance and Risk Management,3,B+,Spring2021
INB372,International Business,3,A,Summer2021
MGT351,Human Resource Management,3,B+,Summer2021
MGT368,Entrepreneurship,3,A,Summer2021
ENG103,Intermediate Composition,3,B,Summer2021
MIS207,Management Information Systems,3,A-,Fall2021
ECO101,Intro to Microeconomics,3,A,Spring2022
ENG105,Advanced Composition,3,B,Spring2022
BUS135,Business Mathematics,3,A-,Spring2022
MGT212,Principles of Management,3,B+,Spring2022
FIN254,Intro to Financial Management,3,A-,Spring2022
ACT201,Intro to Financial Accounting,3,B+,Spring2022
CHE101,Chemistry I,3,A-,Spring2022
PSY101L,Psychology Lab,1,B-,Spring2022
MKT202,Introduction to Marketing,3,A-,Summer2022
MGT489,Strategic Management,3,A,Summer2022
PSY101,Intro to Psychology,3,B-,Summer2022
MIS107,Introduction to Computers,3,B+,Fall2022
BUS172,Introduction to Statistics,3,B,Fall2022
POL104,Political Science,3,B+,Fall2022
GEO205,Geography,3,A,Fall2022
FIN435,Investment Theory,3,B+,Fall2022
BUS498,Internship,4,B-,Fall2022
