course_code,course_name,credits,grade,semester
ENG103,Intermediate Composition,3,D+,Fall2021
ACT202,Intro to Managerial Accounting,3,B,Summer2022
HIS103,History of South Asia,3,F,Summer2022
ENV107,Environmental Science,3,A,Summer2022
PBH101,Public Health,3,F,Summer2022
MIS207,Management Information Systems,3,C-,Fall2022
FIN433,Financial Markets and Institutions,3,D,Spring2023
FIN440,Corporate Finance,3,D,Spring2023
LAW200,Legal Environment of Business,3,B-,Fall2023
PHI401,Ethics / Philosophy,3,C+,Fall2023
MGT351,Human Resource Management,3,B+,Fall2023
MGT368,Entrepreneurship,3,C+,Fall2023
MGT314,Production Management,3,B,Spring2024
MKT202,Introduction to Marketing,3,C,Spring2024
INB372,International Business,3,C,Spring2024
FIN480,Behavioural Finance,3,C+,Fall2024
